First Name, Last Name, City, Age
Noel, Ellis, Thermal, 57
Mosley, Solis, Hoehne, 37
Shanna, Clark, Waukeenah, 65
Wright, Wynn, Highland, 62
Jacklyn, Osborne, Sattley, 51
Tyler, Yates, Zarephath, 55
Long, Wolf, Norwood, 51
Sloan, Buckley, Berlin, 37
Burch, Hall, Albrightsville, 54
Roth, Norman, Naomi, 35
Concetta, Blake, Machias, 49
Katelyn, Lopez, Freelandville, 31
Noel, Ellis, Cannondale, 44
Mullen, Patterson, Herlong, 39
Cummings, Roach, Crisman, 62
Lidia, Bridges, Umapine, 46
Palmer, Cantu, Bend, 57
Sheryl, Justice, Fostoria, 25
Atkins, Weiss, Watchtower, 24
Reynolds, Smith, Deputy, 28
Norma, Horn, Baden, 51
House, Day, Floriston, 38
Francine, Ramsey, Hemlock, 44
Herring, Hinton, Shepardsville, 32
Terrie, Nunez, Edgewater, 43
Lula, Hale, Orviston, 62
Barr, Rush, Winchester, 42
Butler, Decker, Lemoyne, 44
Dejesus, Trujillo, National, 35
Estela, Fuentes, Whipholt, 27
Felicia, Hodge, Cliffside, 31
Jerry, Williams, Riceville, 48
Burnett, Buckner, Nanafalia, 50
Cotton, Bauer, Rivers, 46
Madden, Maxwell, Mappsville, 27
Frances, Castro, Osage, 51
Ola, Nichols, Lawrence, 29
Ernestine, Summers, Century, 61
Stokes, Hicks, Bartley, 54
Danielle, Church, Epworth, 23
Esther, Gutierrez, Trexlertown, 63
Goodwin, Kirby, Muse, 37
Manuela, Flynn, Blue, 18
Dena, Fernandez, Bartonsville, 54
Velma, Rowland, Stewart, 60
Tanner, Collier, Steinhatchee, 55
Rhodes, Stanley, Gracey, 34
Petty, Giles, Chase, 54
Mai, Beach, Brecon, 45
Tracie, Savage, Madaket, 31
Hopper, Rios, Oberlin, 47
Brennan, Molina, Falconaire, 21
Julianne, Walter, Durham, 56
Rochelle, Frost, Sylvanite, 39
Yvonne, Whitaker, Corriganville, 52
Talley, Marks, Marbury, 26
Lamb, Shields, Grayhawk, 60
Aisha, Cannon, Newry, 44
Sue, Spencer, Whitewater, 46
Mcintyre, Henry, Alamo, 41
Becky, Meadows, Starks, 51
Sonia, Chavez, Wanamie, 28
Mable, Malone, Garfield, 19
Workman, Cross, Snelling, 28
Chelsea, Murray, Dawn, 28
Janie, Lang, Lund, 20
Shannon, Keller, Dunbar, 19
Blake, Fowler, Guilford, 65
Debra, Mclean, Condon, 56
Bates, Rich, Haring, 65
Marie, Schwartz, Rosedale, 48
Berg, Parsons, Salvo, 33
Hodge, Neal, Bordelonville, 39
Clarissa, Owen, Coral, 54
Lupe, Cruz, Seymour, 49
Eugenia, Estrada, Hondah, 51
Hughes, Craig, Cassel, 34
Brandy, Baxter, Kersey, 19
Salinas, Knapp, Tyro, 55
Cobb, Blackwell, Herbster, 35
Valentine, Hampton, Riviera, 65
Noreen, Chambers, Thatcher, 42
Dillard, Booker, Florence, 53
Henrietta, Dillard, Drummond, 23
Clay, Gallegos, Dahlen, 42
Carmela, Monroe, Yukon, 54
Powers, Newton, Deseret, 35
Bridgett, Reeves, Waumandee, 44
Rosalind, Atkins, Wakarusa, 47
Colleen, Huffman, Chilton, 54
Verna, Gonzalez, Frystown, 54
Isabelle, Hunt, Sexton, 53
Pace, Christian, Rosburg, 42
Yvette, Glenn, Edmund, 52
Daniels, Wells, Groton, 45
Rita, Drake, Carbonville, 30
Ramsey, Sutton, Shelby, 51
Joyce, Wilkins, Kohatk, 30
Conner, Underwood, Morningside, 60
Marsh, Bean, Tryon, 39
Jacobs, Duran, Brethren, 63
Lucas, Kane, Alfarata, 49
Katy, Sherman, Dundee, 63
Gladys, Baldwin, Cuylerville, 48
Wyatt, Alford, Savage, 50
Paul, Britt, Moscow, 58
Rosa, Gross, Crenshaw, 20
Young, Lloyd, Rosewood, 54
Joanna, Powell, Motley, 56
Watts, Wagner, Ona, 34
Carmen, Mcmillan, Rockingham, 27
Wells, Tyson, Sims, 38
Mcfarland, Santiago, Gulf, 35
Banks, Vang, Hegins, 32
Evangelina, Hood, Harviell, 62
Nell, Green, Beaverdale, 26
Rosales, Flores, Chapin, 40
Carrillo, Villarreal, Norris, 36
Fischer, Glover, Lopezo, 50
Elena, Stuart, Germanton, 27
Valdez, Sexton, Graniteville, 37
Bowen, Hutchinson, Dixie, 42
Mamie, Silva, Crawfordsville, 60
Weber, Poole, Delco, 31
Jolene, Pruitt, Bagtown, 35
Willis, Mccarty, Beason, 19
Rebekah, Holcomb, Cetronia, 58
Fannie, Conner, Irwin, 30
Randi, Harding, Adamstown, 56
Courtney, Wall, Otranto, 46
Wilson, Miles, Cazadero, 26
Linda, Gordon, Hebron, 29
Gibson, Gallagher, Jessie, 20
Noemi, Rosa, Sehili, 35
Hubbard, Mayo, Magnolia, 44
Olsen, Robles, Trail, 56
Bernadette, Peters, Camas, 61
Hudson, Stephenson, Garberville, 57
Dawson, Ingram, Ryderwood, 44
Mercedes, Jarvis, Titanic, 28
Christy, Wyatt, Rivera, 35
Eleanor, Abbott, Terlingua, 40
Shawna, Hays, Chamizal, 40
Mason, Bartlett, Warren, 45
Castro, Gilmore, Wacissa, 31
Mia, Dillon, Summerset, 49
Gonzales, Cobb, Belmont, 29
Stone, Mcmahon, Murillo, 30
Mathews, Parker, Dodge, 24
Carter, Joyce, Nile, 65
Enid, Wooten, Brownlee, 59
Crawford, Clarke, Snowville, 33
Elvira, Jackson, Levant, 33
Tia, Crawford, Newkirk, 20
Lauren, Reid, Takilma, 62
Walton, Delacruz, Beaulieu, 33
Dollie, Ferrell, Chloride, 50
Fuller, Steele, Axis, 22
Maggie, Park, Linganore, 62
Dolores, Suarez, Garnet, 33
Melody, Kidd, Siglerville, 58
Audrey, Wright, Roeville, 19
Tasha, Cervantes, Waikele, 41
Loraine, Moran, Fredericktown, 34
Dina, Cameron, Lloyd, 54
Hanson, Fitzpatrick, Darrtown, 54
Reeves, Reed, Martell, 33
Imogene, Rodriguez, Tyhee, 65
Leola, Mcclain, Orin, 26
Shari, Holder, Clarksburg, 29
Fern, Vaughn, Darbydale, 34
